lga_2016,state,industry_people,industry_type,industry_type_full,lga_total_industry_people
57080,5,1576,hospitality,accommodation_and_food_services,11512
57140,5,10,hospitality,accommodation_and_food_services,417
57210,5,87,hospitality,accommodation_and_food_services,2120
57280,5,338,hospitality,accommodation_and_food_services,7051
57350,5,8,hospitality,accommodation_and_food_services,369
57420,5,32,hospitality,accommodation_and_food_services,775
57490,5,3138,hospitality,accommodation_and_food_services,54837
57630,5,5,hospitality,accommodation_and_food_services,40
57700,5,535,hospitality,accommodation_and_food_services,12871
57770,5,77,hospitality,accommodation_and_food_services,419
57840,5,1492,hospitality,accommodation_and_food_services,20757
57910,5,7090,hospitality,accommodation_and_food_services,103428
57980,5,606,hospitality,accommodation_and_food_services,9207
58050,5,3992,hospitality,accommodation_and_food_services,63340
58190,5,4,hospitality,accommodation_and_food_services,169
58260,5,9,hospitality,accommodation_and_food_services,264
58330,5,90,hospitality,accommodation_and_food_services,1846
58400,5,0,hospitality,accommodation_and_food_services,135
58470,5,0,hospitality,accommodation_and_food_services,72
58510,5,1638,hospitality,accommodation_and_food_services,17489
58540,5,17,hospitality,accommodation_and_food_services,453
58570,5,1598,hospitality,accommodation_and_food_services,18784
58610,5,25,hospitality,accommodation_and_food_services,745
58680,5,6,hospitality,accommodation_and_food_services,209
58760,5,5267,hospitality,accommodation_and_food_services,89092
58820,5,65,hospitality,accommodation_and_food_services,1626
58890,5,11,hospitality,accommodation_and_food_services,411
59030,5,10,hospitality,accommodation_and_food_services,169
59100,5,12,hospitality,accommodation_and_food_services,353
59170,5,16,hospitality,accommodation_and_food_services,519
59250,5,15,hospitality,accommodation_and_food_services,371
59310,5,22,hospitality,accommodation_and_food_services,672
59320,5,3,hospitality,accommodation_and_food_services,207
59330,5,7,hospitality,accommodation_and_food_services,191
59340,5,243,hospitality,accommodation_and_food_services,3231
59350,5,9,hospitality,accommodation_and_food_services,194
59360,5,22,hospitality,accommodation_and_food_services,605
59370,5,97,hospitality,accommodation_and_food_services,1401
59499,5,219,hospitality,accommodation_and_food_services,1773
59799,5,11,hospitality,accommodation_and_food_services,334
60210,6,234,hospitality,accommodation_and_food_services,1933
60410,6,453,hospitality,accommodation_and_food_services,6636
60610,6,619,hospitality,accommodation_and_food_services,7664
60810,6,562,hospitality,accommodation_and_food_services,8839
61010,6,74,hospitality,accommodation_and_food_services,823
61210,6,221,hospitality,accommodation_and_food_services,3595
61410,6,1568,hospitality,accommodation_and_food_services,24581
61510,6,228,hospitality,accommodation_and_food_services,3864
61610,6,740,hospitality,accommodation_and_food_services,9650
