DATAFLOW,MEASURE,REGIONTYPE,LGA_2018,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2017,5167,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57210,A,2018,5249,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2001,12881,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2002,13201,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2003,13555,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2004,13692,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2005,13880,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2006,14084,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2007,14129,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2008,14309,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2009,14825,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2010,15252,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2011,15659,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2012,15851,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2013,15951,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2014,15648,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2015,15387,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2016,15064,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2017,14958,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57280,A,2018,14975,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2001,1140,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2002,1137,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2003,1130,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2004,1084,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2005,1068,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2006,1071,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2007,1070,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2008,1078,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2009,1080,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2010,1074,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2011,1073,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2012,1072,PSNS,,
